A1,A2,A3,models,pvalues,adj.pvalues,P(1)-P(0),GDI,lcprob_000,lcprob_100,lcprob_010,lcprob_001,lcprob_110,lcprob_101,lcprob_011,lcprob_111
1,1,0,LLM,0.8262,1,0.23935558433015325,0.01088023141309715,0.6858,0.8519,0.8242,0.6858,0.9251,0.8519,0.8242,0.9251
0,1,0,GDINA,NA,NA,0.16732392351835157,0.006902759856706623,0.7367,0.7367,0.9041,0.7367,0.9041,0.7367,0.9041,0.9041
1,0,1,RRUM,0.2688,1,0.3891154367822858,0.026011323837778426,0.402,0.619,0.402,0.5137,0.619,0.7911,0.5137,0.7911
0,0,1,GDINA,NA,NA,0.3673754995937222,0.029168031287693137,0.4544,0.4544,0.4544,0.8217,0.4544,0.8217,0.8217,0.8217
0,0,1,GDINA,NA,NA,0.21798525671700697,0.010269303295695142,0.7379,0.7379,0.7379,0.9559,0.7379,0.9559,0.9559,0.9559
0,0,1,GDINA,NA,NA,0.22496621280908136,0.01093758226032894,0.6996,0.6996,0.6996,0.9246,0.6996,0.9246,0.9246,0.9246
1,0,1,ACDM,0.8996,1,0.47790208723099414,0.03596667697860077,0.4692,0.709,0.4692,0.7074,0.709,0.9471,0.7074,0.9471
0,1,0,GDINA,NA,NA,0.1517565470530362,0.00567808066911576,0.8132,0.8132,0.965,0.8132,0.965,0.8132,0.965,0.965
1,0,1,LLM,0.449,1,0.328761634972108,0.017209364103176358,0.5309,0.7619,0.5309,0.6843,0.7619,0.8597,0.6843,0.8597
1,0,0,GDINA,NA,NA,0.3826629661677421,0.03414617687929713,0.5167,0.8994,0.5167,0.5167,0.8994,0.8994,0.5167,0.8994
1,0,1,LLM,0.9902,1,0.4546193981987663,0.032891105843035597,0.4767,0.8371,0.4767,0.7063,0.8371,0.9313,0.7063,0.9313
1,0,1,RRUM,0.75,1,0.6132711815015559,0.06161597955969531,0.1367,0.2706,0.1367,0.3787,0.2706,0.7499,0.3787,0.7499
1,0,1,LLM,0.5694,1,0.32750481745587956,0.016911906007561598,0.5754,0.8051,0.5754,0.7532,0.8051,0.9029,0.7532,0.9029
1,0,0,GDINA,NA,NA,0.27605722498089447,0.017770819451188042,0.549,0.8251,0.549,0.549,0.8251,0.8251,0.549,0.8251
0,0,1,GDINA,NA,NA,0.23823653355920316,0.012266014122774343,0.719,0.719,0.719,0.9572,0.719,0.9572,0.9572,0.9572
1,0,1,ACDM,0.98740000000000006,1,0.44725220305763275,0.03144488969457189,0.4653,0.6784,0.4653,0.6994,0.6784,0.9125,0.6994,0.9125
0,1,1,DINA,0.0863,1,0.1349025309787808,0.004514897085611462,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,0.9472,0.9472
0,0,1,GDINA,NA,NA,0.2024978522721651,0.00886191500855842,0.7071,0.7071,0.7071,0.9096,0.7071,0.9096,0.9096,0.9096
0,0,1,GDINA,NA,NA,0.38998658845932177,0.03286896900213335,0.4437,0.4437,0.4437,0.8337,0.4437,0.8337,0.8337,0.8337
1,0,1,LLM,0.7431,1,0.5911890737194476,0.05749804437985315,0.1756,0.5226,0.1756,0.39,0.5226,0.7668,0.39,0.7668
1,0,1,LLM,0.9787,1,0.39315353107849127,0.024701042778359952,0.5267,0.7792,0.5267,0.7835,0.7792,0.9199,0.7835,0.9199
0,0,1,GDINA,NA,NA,0.5184178793668472,0.05808268444631748,0.2761,0.2761,0.2761,0.7945,0.2761,0.7945,0.7945,0.7945
0,1,0,GDINA,NA,NA,0.2758308573472338,0.01875825278673534,0.6576,0.6576,0.9334,0.6576,0.9334,0.6576,0.9334,0.9334
0,1,0,GDINA,NA,NA,0.36490049024213267,0.0328288431651448,0.331,0.331,0.6959,0.331,0.6959,0.331,0.6959,0.6959
1,0,0,GDINA,NA,NA,0.26322000783415467,0.0161564899190337,0.5216,0.7848,0.5216,0.5216,0.7848,0.7848,0.5216,0.7848
0,0,1,GDINA,NA,NA,0.24946669497339113,0.013449677925885962,0.532,0.532,0.532,0.7814,0.532,0.7814,0.7814,0.7814
1,0,0,GDINA,NA,NA,0.4194036839168208,0.04101792628440002,0.2913,0.7107,0.2913,0.2913,0.7107,0.7107,0.2913,0.7107
0,0,1,GDINA,NA,NA,0.27856791474343134,0.01677061249948793,0.6291,0.6291,0.6291,0.9077,0.6291,0.9077,0.9077,0.9077
